stemming,label,weight,Rating
"mantap, kali",positive,5 + 0 = 5,5
"kecewa, link, isi, saldo, tanggal, kematin, kunjung, masuk, masuk, live, chat, upload, bukfi, teranferan",positive,0 + 0 + -2 + 2 + 0 + 0 + -3 + 0 + 0 + 3 + 3 + 0 + 0 + 0 = 3,1
"live, chat, guna, ganti, nomor, aplikasiiii, merusakkkkkkkk, duit, digital, tel, aplikasi, link, malu, aplikasi, ganti, nomor, aktiff",negative,3 + 3 + 1 + -3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + -3 + 0 + 0 = -1,1
"daftar, kirim, kode, verifikasi, email, email, kirim, hadew",positive,-1 + 2 + 0 + 0 + 0 + 0 + 2 + 0 = 3,1
"aplikasi, sampah",negative,0 + 0 = 0,1
"beli, pulsa, bayar, anjir",negative,-2 + 0 + -1 + -1 = -4,1
"nih, aplikasi, layak, pakai, unihnstall, dah",negative,0 + 0 + -3 + 0 + 0 + 0 = -3,1
"email, nonaktif, digantilive, chat, respon, yahangus, dalam, akun",positive,0 + 0 + 0 + 3 + 2 + 0 + 3 + 0 = 8,1
bagus,negative,-2 = -2,5
"baru, rutin, deteksi, aplikasi, curiga",negative,0 + 0 + 0 + 0 + -1 = -1,1
"linkaja, bsi, gagal, ambil, foto, wajahsabar, sabar, sabar",positive,0 + 0 + 0 + 0 + 3 + 0 + 5 + 5 = 13,1
"eror, masuk, akun",negative,0 + 0 + 0 = 0,1
"woi, duit, pending, ribu, kali, chat, customer, service, robot, nihh, woi, kali, pendingya, nihh, kerja",positive,0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 = 5,1
sip,negative,0 = 0,5
"saldo, debet, tarik, tunai, atm, tanggal, nov, hubung, layan, langgan, suruh, tunggu, sangatsangat, stidak, saran, malink, rugi",positive,2 + 0 + 2 + 3 + 0 + 0 + 0 + -1 + -2 + 2 + 0 + -1 + 0 + 0 + -2 + 0 + 0 = 3,1
"tari, uang, ribu, saldo, kurang, nih, woiiikok, duit",positive,1 + 0 + 0 + 2 + 0 + 0 + 0 + 0 = 3,2
"link, bermutupembayaran, pakai, qrish, smlam, pendng, terusmau, chat, customer, service, balas, botkalau, bayar, pakai, qrish, tolong, pedingda, malas, pakai, apliksih, inikeluh, kesah, bot, balas",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + -1 + 0 + -1 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + -1 = -1,1
bagus,negative,-2 = -2,5
"bantu, upgrade",negative,-3 + 0 = -3,5
"apa, nih, download, nomor, blokir, solusi",positive,0 + 0 + 0 + 0 + 0 + 3 = 3,1
ok,positive,4 = 4,5
"awalya, pakai, aplikasi, bagus, kesini, sono, aplikasi, link, chat, live, chat, customer, service, hubung, keyword, kunci, etik, apa, fungsi, chat, live, customer, service, kirim, email, no, responparahhh",positive,0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 3 + 3 + 3 + 0 + 0 + -1 + 0 + 3 + 0 + 0 + 0 + 3 + 3 + 0 + 0 + 2 + 0 + 0 + 0 = 17,1
uokk,negative,0 = 0,4
"transaksi, tari, tunai, linkaja, atm, bni, rp, status, transaksi, gagal, atm, atm, kosong, aplikasi, linkaja, status, sukses, saldo, potong, alhasil, saldo, hilang, terima, uang, tunai, mohon, tingkat, layan, linkaja",positive,4 + 1 + 3 + 0 + 0 + 0 + 0 + 0 + 4 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 2 + 0 + 0 + 2 + -3 + 2 + 0 + 3 + -2 + 1 + -2 + 0 = 18,1
"proses, upgrade, premium, tunggu, jam, konfirmasi",positive,1 + 0 + 2 + -1 + 0 + 3 = 5,5
"kirim, masuk",positive,2 + 0 = 2,1
"kecewa, transfer, mybca, linkajadi, seblm, trnsfer, biaya, transfersaya, coba, transfer, berhasilternyata, masuk, uang, transfer, mybca, alami",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = -2,1
"ayo, bebenah, link, percaya, jaya",positive,4 + 0 + 0 + 2 + 4 = 10,3
"woyy, link, ssaja, susudah, qr, transfer, keda, pakai, bangk, permata, lo, susudah, hadehhh, tolongg, perbaikiii, segeraaa",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 = 3,1
amazing,negative,0 = 0,5
"jelek, banget, jaring, lancar, ssudah, transaksi, kena, salah, jaring, potong, saldo, aneh, benget, nih, apk, dompet, digital, ampas, kapok, topup, sampah",positive,0 + 1 + 3 + -4 + 0 + 4 + 0 + 0 + 3 + 0 + 2 + -4 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 5,1
"aplikasi, bagus",negative,0 + -2 = -2,5
"top, up, indomaret, saldo, masuk, masuk, keterantidakn, struknya, sukses, saldo, top, up, masuk, kecewa, pakai, aplikasi",positive,5 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 3 + 2 + 5 + 0 + 0 + 0 + 0 + 0 = 17,1
tingkat,positive,1 = 1,5
bantu,negative,-3 = -3,5
"tolong, kak, tingkat, tampil, saldo, bisah, sembunyi, kayak, lihat, angka, saldo, trimaksih",positive,-3 + 0 + 1 + -1 + 2 + 0 + 0 + 0 + 3 + 0 + 2 + 0 = 4,4
"buka, linkaja",negative,-3 + 0 = -3,5
"layan, buruk, respon, perintah, suruh, klik, link, klik, tau, tau, akhirin, chatya",negative,-2 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 0,1
"mohon, tambah, fiture, login, gmail, no, hp, hangus, apk, payahhh",positive,-2 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 1,1
nan,negative,0 = 0,5
"apk, parahmasi, dana",positive,0 + 0 + 4 = 4,1
coba,negative,-2 = -2,5
"the, best, link",negative,0 + 0 + 0 = 0,5
cemplong,negative,0 = 0,5
"aplikasi, link, buka",negative,0 + 0 + -3 = -3,1
"aplikasi, sampah, isi, emoney, pakai, linkaja, saldo, emoney, tambah, saldo, linkaja, potong, hubung, live, chat, web, resmi, tanggap, kali, makan, duit, haram, situ, kalahu, usaha, suruhogah, download",positive,0 + 0 + -2 + 0 + 0 + 0 + 2 + 0 + 3 + 2 + 0 + 0 + -1 + 3 + 3 + 0 + 2 + 3 + 0 + -1 + 0 + 0 + 0 + 0 + -1 + 0 + 0 = 13,1
"fitur, link, buka, tampil, mypaylater, tolong, baik",negative,0 + 0 + -3 + -1 + 0 + -3 + -3 = -10,1
"selamat, malam, maaf, taya, login, kode, otp, dikirimya, email, buka, email, kode, otp, solusiya, naya, dijawabya, yambung",negative,5 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 0,1
"ganggu, lamagk, selesai",negative,0 + 0 + -2 = -2,1
mantap,positive,5 = 5,5
good,positive,5 = 5,5
"aplikasi, inisaya, top, up, bank, kali, saldo, bertambahgimana, kerja, kaliankembalikan, saldo, ituaplikasi, kayak",positive,0 + 0 + 5 + 0 + 0 + 0 + 2 + 0 + 2 + 0 + 2 + 0 + 0 = 11,1
ganguan,negative,0 = 0,5
masuk,negative,0 = 0,1
bosok,negative,0 = 0,1
"lancar, jaya",negative,-4 + 4 = 0,5
"hapus, aplikasi, juta, saldo, hilang, ngisi, kartu, tol, suruh, klik, pusat, bantu, respon, hati, aplikasi, ngisi, kartu, tol, hilang, saldo, masuk, kartu, tol",negative,0 + 0 + 2 + 2 + -3 + 0 + 0 + 0 + 0 + 0 + 3 + -3 + 2 + -2 + 0 + 0 + 0 + 0 + -3 + 2 + 0 + 0 + 0 = 0,1
"kali, coba, link, anjhink, verifikasi, transaksi, tidakes, pakai, qris, puncuma, beli, pulsa, doangmana, mahal, mahal, laginyesel, gwtidak, pakai, link, anjhink, lahmending, ovo, dana, ribet",positive,0 + -2 + 0 + 0 + 0 + 4 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 1 + 1 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 4 + 0 = 6,1
