Review Text,Username,Rating
Muantapp x,Ffcs Ffcs,5
Saya sangat kecewa terhadap pihak link aja Saya isi saldo dri tanggal kematin sampai ini tak kunjung masuk Saya masuk live chat juga gk bisa upload bukfi teranferan saya,Ade Wijaya,1
LIVE CHAT TIDAK BERGUNA GANTI NOMOR TIDAK BISAAAA APLIKASIIII MERUSAKKKKKKKK BANYAK DUIT DIGITAL YANG TERTELAN DI APLIKASI LINK AJA MEMALUKAN SEKALI APLIKASI GAK BISA SAMA SEKALI GANTI NOMOR YANG SUDAH TIDAK AKTIFF,yt almar,1
Belum Daftar sudah dikirim kode verifikasi keemail entah email siapa yg dikirimkan Hadew,Syamsul Rizal,1
aplikasi sampahhh,Agus Maulana,1
beli pulsa tapi harus bayar anjir lah,Ahmad ahmad,1
Makin gajelas ni aplikasi udah ga layak pakai Uninstall dahlah,Ridwan DPM,1
email lama saya nonaktif mau digantilive chat nya lama respon nyahangus aja yang ada didalam akun,Ferdian Syah,1
Bagus,GanJar alrasyid,5
Tidak ada pembaruan rutin Malah terdeteksi sebagai aplikasi mencurigakan,Javelin Kevin,1
LinkAja ini sama dengan BSI selalu gagal ambil foto wajahsabar sabar sabar,Kamilya sari Kurniawan,1
Eror terus masa mau masuk ke akun sendiri gak bisa bisa,Putra Prijanarto,1
Woi itu duit aku pending rb lama kali mau di chat cs nya robot gmna ni Woi lama kali pendingnya gmna ni kerja kalian,Juhardiansyah 27,1
Siip,Abu Habibah,5
saldo saya yg terdebet karna tarik tunai di ATM tgl nov sampe sekarang belum balik hubungi layanan pelanggan disuruh menunggu terus sangatsangat stidak disarankan menggunakan maLink aja lebih banyak ruginya,reza rambe,1
Penarikan uang saya RB kok gak keluar saldo udah berkurang gimana ni woiiikok gak keluar duit saya,arman syafii,2
Lama lama link aja tidak bermutupembayaran pakai Qrish dari smlam pendng terusmau chat ke cs yg balas cuma botkalau gak bsa bayar pakai Qrish tolong jangan di pedingda males aku lama pakai apliksih inikeluh kesah cuma bot yg balas,Ranra jombang,1
Bagus sekali,Aguy Aguy,5
Bntu upgrade,Dewi Rtno,5
