Review Text,Username,Rating
Muantapp 👍 1000x,Ffcs Ffcs,5
Saya sangat kecewa terhadap pihak link aja. Saya isi saldo dri tanggal 28 kematin sampai ini tak kunjung masuk. Saya masuk live chat juga gk bisa upload bukfi teranferan saya.,Ade Wijaya,1
LIVE CHAT TIDAK BERGUNA !!!!!!!! GANTI NOMOR TIDAK BISAAAA!!!!!! APLIKASIIII MERUSAKKKKKKKK BANYAK DUIT DIGITAL YANG TERTELAN DI APLIKASI LINK AJA MEMALUKAN SEKALI APLIKASI GAK BISA SAMA SEKALI GANTI NOMOR YANG SUDAH TIDAK AKTIFF,yt almar,1
"Belum Daftar sudah dikirim kode verifikasi keemail,, entah email siapa yg dikirimkan.. Hadew",Syamsul Rizal,1
aplikasi sampahhh,Agus Maulana,1
beli pulsa 2000 tapi harus bayar 5000 anjir lah,Ahmad ahmad,1
"Makin gajelas ni aplikasi, udah ga layak pakai. Uninstall dahlah.",Ridwan DPM,1
"email lama saya nonaktif mau diganti,live chat nya lama respon nya,hangus aja yang ada didalam akun",Ferdian Syah,1
Bagus,GanJar alrasyid,5
Tidak ada pembaruan rutin. Malah terdeteksi sebagai aplikasi mencurigakan,Javelin Kevin,1
LinkAja ini sama dengan BSI selalu gagal ambil foto wajah..sabar sabar sabar.,Kamilya sari Kurniawan,1
Eror terus masa mau masuk ke akun sendiri gak bisa bisa,Putra Prijanarto,1
"Woi itu duit aku pending 150 rb lama kali, mau di chat cs nya robot gmna ni? Woi lama kali pendingnya gmna ni kerja kalian,",Juhardiansyah 27,1
Siip,Abu Habibah,5
"saldo saya yg terdebet karna tarik tunai di ATM tgl 18 nov 2024 sampe sekarang belum balik, hubungi layanan pelanggan disuruh menunggu terus, sangat-sangat stidak disarankan menggunakan maLink aja, lebih banyak ruginya",reza rambe,1
Penarikan uang saya 500 RB kok gak keluar saldo udah berkurang gimana ni woiii.kok gak keluar duit saya,arman syafii,2
"Lama lama link aja tidak bermutu,pembayaran pakai Qrish dari smlam pendng terus,mau chat ke cs yg balas cuma bot,kalau gak bsa bayar pakai Qrish tolong jangan di peding.da males aku lama"" pakai apliksih ini,keluh kesah cuma bot yg balas.",Ranra jombang,1
Bagus sekali,Aguy Aguy,5
Bntu upgrade,Dewi Rtno,5
"Apalah ni, baru juga download nomor anda terblokir? Trus gk ada solusi lgi gk bener",Rayhan Lutfi,1
Ok...,Fajar Laros,5
"awalnya pake aplikasi ini bagus, tapi makin kesini makin kesono ini aplikasi link aja, chat live juga gak ada guna nya, chat cs sudah terhubung tapi keyword nya terkunci, tidak bisa mengetik apapun. jadi gak ada guna dan fungsi chat live cs. kirim email juga no respon...Parahhh",Yudi Anton,1
uokk,DESKY NOVRIOGA,4
"Saya melakukan transaksi penarikan tunai linkaja di ATM BNI sebesar Rp500.000, status transaksi gagal di ATM karena ATM kosong,. Tapi di aplikasi linkaja statusnya sukses dan saldo terpotong. Alhasil saldo saya hilang tanpa menerima uang tunai. Mohon di tingkatkan pelayan linkaja",PGJG,1
Kenapa proses upgrade premium lama sekali saya sudah menunggu lebih dari 8 jam tidak ada konfirmasi,Agus Lukman,5
kok pengiriman saya banyak tidak masuk,Lala Sukirman,1
"Kecewa 😡 transfer ke mybca dari linkaja.di awal seblm trnsfer 297500,biaya transfer25000.saya coba transfer berhasil.ternyata yang masuk uang transferan ke mybca yg tiba jadi 260000.mngkin yg lain juga mengalami seperti saya???",Zizah Lela,1
"Ayo dong bebenah ,agar link aja kembali dipercaya seperti dulu di masa jaya nya..",Awan,3
"Woyy lah link ajaa , kenapa dah gabisa QR Mau di TF keda pake BANGK PERMATA aja gabisa loo kenapa dah hadehhh Tolongg dong perbaikiii Segeraaa!!!!",Riko Febriawan,1
Amazing,Muhammad Fitrah hamdani,5
"Jelek banget padahal jaringan lancar sudah transaksi, malah malah kena kesalahan jaringan udah gitu terpotong lagi saldonya aneh benget nih apk , dompet digital ampas kapok saya topup di sini. Sampah",Sugyomi,1
Aplikasi bagus,Muhamad Sabri,5
Udah top up di indomaret malah saldonya ga masuk masuk sampek sekarang. Padahal keterangan di. Struknya sukses. Tapi saldo yang di top up tidak masuk. Saya kecewa ga akan pakai aplikasi ini lagi👎.,Diah H,1
Tingkatkan!!,Ery Ekklesia,5
Sangat membantu,Mball Iqbal,5
🙏Tolong kak Di tingkatkan lagi Tampilan Saldo mungkin Bisah Di Sembunyikan Kaya yg Lain Jangan Di perlihatkan angka Saldonya Trimaksih,Baba furkan,4
belum di buka linkaja,Robit Afifuddin,5
"Pelayanan buruk, respon lama Perintah suruh klik, tapi link nya gak bisa di klik. Tau tau udah di akhirin chatnya.",Kang Gudel,1
"Mohon di tambahkan fiture login dengan gmail, karna no HP saya sudah hangus, apk sangat payahhh",Andri Nur,1
👍👍👍👍,Zul Herman,5
"Apk parah,Masi DANA yg jauh lebih baik",topayu rifai,1
Belum Coba,Herada Mitsyumi Kyusuda (JZ13CKB),5
The best link ajh,Nasya Putri,5
Cemplong,Egoh Ahmad,5
Kenapa aplikasinya link gak bisa di buka,Lisya Pesek,1
"Aplikasi SAMPAH isi e-money pakai linkaja saldo e-money tidak bertambah saldo linkaja terpotong... Hubungi live chat dan web resmi tidak ada tanggapan 1x24... Makan la duit haram situ, kalau bukan karena perusahaan yang suruh...ogah di download",Imam Noersyeha,1
"Kenapa fitur link aja saya buka tidak ada tampilan MyPaylater, tolong di perbaiki !!",Razka Ghina,1
