Username,Rating,Review Text,casefolding,normalisasi,tokenize,stopword,stemming
Ffcs Ffcs,5,Muantapp x,muantapp x,mantap kali,"['mantap', 'kali']","['mantap', 'kali']","mantap, kali"
Ade Wijaya,1,Saya sangat kecewa terhadap pihak link aja Saya isi saldo dri tanggal kematin sampai ini tak kunjung masuk Saya masuk live chat juga gk bisa upload bukfi teranferan saya,saya sangat kecewa terhadap pihak link aja saya isi saldo dri tanggal kematin sampai ini tak kunjung masuk saya masuk live chat juga gk bisa upload bukfi teranferan saya,saya sangat kecewa terhadap pihak link saja saya isi saldo dari tanggal kematin sampai ini tak kunjung masuk saya masuk live chat juga tidak bisa upload bukfi teranferan saya,"['saya', 'sangat', 'kecewa', 'terhadap', 'pihak', 'link', 'saja', 'saya', 'isi', 'saldo', 'dari', 'tanggal', 'kematin', 'sampai', 'ini', 'tak', 'kunjung', 'masuk', 'saya', 'masuk', 'live', 'chat', 'juga', 'tidak', 'bisa', 'upload', 'bukfi', 'teranferan', 'saya']","['kecewa', 'link', 'isi', 'saldo', 'tanggal', 'kematin', 'kunjung', 'masuk', 'masuk', 'live', 'chat', 'upload', 'bukfi', 'teranferan']","kecewa, link, isi, saldo, tanggal, kematin, kunjung, masuk, masuk, live, chat, upload, bukfi, teranferan"
yt almar,1,LIVE CHAT TIDAK BERGUNA GANTI NOMOR TIDAK BISAAAA APLIKASIIII MERUSAKKKKKKKK BANYAK DUIT DIGITAL YANG TERTELAN DI APLIKASI LINK AJA MEMALUKAN SEKALI APLIKASI GAK BISA SAMA SEKALI GANTI NOMOR YANG SUDAH TIDAK AKTIFF,live chat tidak berguna ganti nomor tidak bisaaaa aplikasiiii merusakkkkkkkk banyak duit digital yang tertelan di aplikasi link aja memalukan sekali aplikasi gak bisa sama sekali ganti nomor yang sudah tidak aktiff,live chat tidak berguna ganti nomor tidak bisa aplikasiiii merusakkkkkkkk banyak duit digital yang tertelan di aplikasi link saja memalukan sekali aplikasi tidak bisa sama sekali ganti nomor yang sudah tidak aktiff,"['live', 'chat', 'tidak', 'berguna', 'ganti', 'nomor', 'tidak', 'bisa', 'aplikasiiii', 'merusakkkkkkkk', 'banyak', 'duit', 'digital', 'yang', 'tertelan', 'di', 'aplikasi', 'link', 'saja', 'memalukan', 'sekali', 'aplikasi', 'tidak', 'bisa', 'sama', 'sekali', 'ganti', 'nomor', 'yang', 'sudah', 'tidak', 'aktiff']","['live', 'chat', 'berguna', 'ganti', 'nomor', 'aplikasiiii', 'merusakkkkkkkk', 'duit', 'digital', 'tertelan', 'aplikasi', 'link', 'memalukan', 'aplikasi', 'ganti', 'nomor', 'aktiff']","live, chat, guna, ganti, nomor, aplikasiiii, merusakkkkkkkk, duit, digital, tel, aplikasi, link, malu, aplikasi, ganti, nomor, aktiff"
Syamsul Rizal,1,Belum Daftar sudah dikirim kode verifikasi keemail entah email siapa yg dikirimkan Hadew,belum daftar sudah dikirim kode verifikasi keemail entah email siapa yg dikirimkan hadew,belum daftar sudah dikirim kode verifikasi ke email entah email siapa yang dikirimkan hadew,"['belum', 'daftar', 'sudah', 'dikirim', 'kode', 'verifikasi', 'ke', 'email', 'entah', 'email', 'siapa', 'yang', 'dikirimkan', 'hadew']","['daftar', 'dikirim', 'kode', 'verifikasi', 'email', 'email', 'dikirimkan', 'hadew']","daftar, kirim, kode, verifikasi, email, email, kirim, hadew"
Agus Maulana,1,aplikasi sampahhh,aplikasi sampahhh,aplikasi sampah,"['aplikasi', 'sampah']","['aplikasi', 'sampah']","aplikasi, sampah"
Ahmad ahmad,1,beli pulsa tapi harus bayar anjir lah,beli pulsa tapi harus bayar anjir lah,beli pulsa tapi harus bayar anjir lah,"['beli', 'pulsa', 'tapi', 'harus', 'bayar', 'anjir', 'lah']","['beli', 'pulsa', 'bayar', 'anjir']","beli, pulsa, bayar, anjir"
Ridwan DPM,1,Makin gajelas ni aplikasi udah ga layak pakai Uninstall dahlah,makin gajelas ni aplikasi udah ga layak pakai uninstall dahlah,makin tidak jelas nih aplikasi sudah tidak layak pakai unihnstall dahlah,"['makin', 'tidak', 'jelas', 'nih', 'aplikasi', 'sudah', 'tidak', 'layak', 'pakai', 'unihnstall', 'dahlah']","['nih', 'aplikasi', 'layak', 'pakai', 'unihnstall', 'dahlah']","nih, aplikasi, layak, pakai, unihnstall, dah"
Ferdian Syah,1,email lama saya nonaktif mau digantilive chat nya lama respon nyahangus aja yang ada didalam akun,email lama saya nonaktif mau digantilive chat nya lama respon nyahangus aja yang ada didalam akun,email lama saya nonaktif mau digantilive chat ya lama respon yahangus saja yang ada didalam akun,"['email', 'lama', 'saya', 'nonaktif', 'mau', 'digantilive', 'chat', 'ya', 'lama', 'respon', 'yahangus', 'saja', 'yang', 'ada', 'didalam', 'akun']","['email', 'nonaktif', 'digantilive', 'chat', 'respon', 'yahangus', 'didalam', 'akun']","email, nonaktif, digantilive, chat, respon, yahangus, dalam, akun"
GanJar alrasyid,5,Bagus,bagus,bagus,['bagus'],['bagus'],bagus
Javelin Kevin,1,Tidak ada pembaruan rutin Malah terdeteksi sebagai aplikasi mencurigakan,tidak ada pembaruan rutin malah terdeteksi sebagai aplikasi mencurigakan,tidak ada pembaruan rutin malah terdeteksi sebagai aplikasi mencurigakan,"['tidak', 'ada', 'pembaruan', 'rutin', 'malah', 'terdeteksi', 'sebagai', 'aplikasi', 'mencurigakan']","['pembaruan', 'rutin', 'terdeteksi', 'aplikasi', 'mencurigakan']","baru, rutin, deteksi, aplikasi, curiga"
